freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   351.089607  4.14552e-23       76.232 
   351.310036  6.08666e-25     1535.128 
   352.082888  6.31363e-22      162.303 
   352.863796  1.69036e-24     1303.166 
   352.898493  3.75128e-25     1698.414 
   353.002395  7.52799e-23      135.772 
   353.444981  1.14572e-25     1961.979 
   353.949940  2.21248e-22      548.748 
   354.113481  4.22941e-24     1090.252 
   354.277557  3.33104e-22      391.625 
   354.397758  8.41549e-23      214.543 
   354.836160  6.03086e-24     1056.898 
   355.048817  9.50778e-24      896.421 
   355.322211  7.34648e-23      312.538 
   355.656666  1.91196e-23      721.708 
   355.817938  5.38492e-23      429.743 
   355.920251  3.41884e-23      566.140 
   356.147518  5.43475e-23      558.928 
   356.222372  4.77836e-22      210.196 
   357.024202  2.50138e-23      743.482 
   357.102182  1.17647e-21      116.359 
   357.497758  4.36194e-22      368.051 
   357.566889  1.23475e-22      730.978 
   357.679875  4.75751e-25     1079.976 
   358.219084  1.16756e-27     2925.078 
   358.347313  6.24280e-22      190.951 
   358.927942  1.03057e-23      954.172 
   358.987975  5.53579e-22       70.539 
   359.651727  3.68790e-22      190.951 
   360.260888  1.44704e-27     2923.074 
   360.574749  1.64581e-24      751.952 
   361.148569  2.29921e-25     1617.711 
   361.304600  5.23093e-27     2601.676 
   361.701516  1.01550e-24      843.914 
   362.158236  3.36186e-22       16.140 
   362.834168  3.15122e-22      167.768 
   363.593854  2.56436e-24      337.191 
   364.101238  2.12755e-26     2297.101 
   364.165049  6.57778e-27     2599.641 
   364.574379  3.80960e-24     1190.962 
   364.633669  1.19119e-26     2222.614 
   365.140869  1.00272e-22      805.513 
   365.472471  7.76746e-23      870.607 
   365.794583  3.01842e-22      182.063 
   366.606236  7.84475e-26     2011.403 
   367.369242  6.09368e-22      222.079 
   368.373992  1.54092e-26     1881.857 
   368.815492  2.62047e-25     1744.633 
   369.131298  1.10377e-26        6.346 
   370.279882  3.16796e-23       69.856 
   370.288072  2.75283e-26     2295.057 
   370.723497  7.91369e-25     1496.835 
   371.349599  3.27174e-24       90.569 
   371.631812  3.08304e-24      512.461 
   372.279854  7.30431e-23      126.202 
   372.323167  2.15764e-24     1268.051 
   372.437407  1.02395e-25     2009.387 
   372.984908  4.65564e-25     1107.086 
   373.605546  5.29638e-24     1058.321 
   373.755651  8.86501e-23      201.776 
   374.153744  1.25829e-24     1453.805 
   374.200255  2.63196e-25     1218.240 
   374.207073  3.02607e-24      317.621 
   374.322621  1.31425e-22      742.905 
   374.559380  1.16702e-23      867.678 
   374.745159  8.10922e-23      296.573 
   374.865308  1.87966e-24      730.978 
   375.170530  2.29710e-23      696.156 
   375.288799  6.14723e-23      410.581 
   375.421154  4.01125e-23      543.782 
   375.921976  1.04853e-24     1494.976 
   376.538026  6.13027e-23      938.099 
   376.670231  3.69725e-28     2744.238 
   376.821312  8.57194e-28     2575.898 
   377.223006  1.63976e-27     2871.610 
   377.481140  5.26841e-22      326.603 
   378.403024  1.32184e-21      128.271 
   379.092574  3.83777e-22       20.038 
   379.391389  6.91002e-22       90.569 
   379.498584  5.88138e-22      255.662 
   379.692191  8.48554e-26     1529.678 
   380.405040  7.22569e-27     2551.357 
   380.979089  1.03343e-26     2019.406 
   381.082050  4.39622e-26     1659.969 
   381.782838  1.24589e-27     2980.498 
   382.063469  4.89643e-27     2168.763 
   383.032501  4.80816e-22      242.885 
   383.289030  2.88855e-26     2249.937 
   384.859536  4.94970e-24     1128.640 
   385.486945  4.54862e-24      449.591 
   385.871482  1.04708e-25     1967.403 
   386.041014  6.03642e-24      236.058 
   386.716636  3.68705e-25     1742.646 
   387.268013  5.79001e-27     2653.945 
   388.147531  3.43621e-25     1703.802 
   388.338508  8.47772e-22      151.923 
